groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
,,,,,,,,,,
Ep9,,"방학이라 그런가, 시간이 유난히 빨리 흘러가는 듯하다.",,,,,,,,
Ep10,,순식간에 8월 말이 다가왔다. 벌써 수강 신청을 할 때가 온 건가.,,,,,,,,
Ep11,,1학기 때 인기 강좌에서 광탈당했던 악몽이…,,,,,,,,
Ep12,,수강 신청 꿀팁 같은 걸 들어두면 좋을까?,TRUE,"""좋을 것 같다|Good;듣지 않아도 될 것 같다|Bad""",,,,,,
Good,,일단 주은이랑 시간표를 맞추기로 하긴 했지만,,,,,,,,
Good,,최대한 공강을 많이 만들어두고 싶은데…,,,,,,,,
Good,,동시에 학점 잘 주는 과목만 듣고 싶다.,,,,,,,,
Good,,이왕이면 잠만 자도 에이쁠 받을 수 있는 거로.,,,,,,,,
Good,,그런 꿀강 있는지 연락해 볼까?,,,,,,,,
Good,,누구한테 연락하지?,TRUE,"""이현 선배|GoodMoon1|5|문이현|False;우진 선배|GoodJung1|2|정우진|False""",,,,,,
GoodMoon1,,아무래도 과탑 이현 선배에게 연락해 봐야겠다.,,,,,,,,
GoodMoon1,여주,선배 혹시 꿀강 아는 거 있으세요?,,,,,,,,
GoodMoon1,문이현,앗 수강 신청 때문에 그래?,,,,,,,,
GoodMoon1,여주,네ㅠㅠ 도와주세요ㅠ,,,,,,,,
GoodMoon1,문이현,어떻게 도와주는 게 좋으려나?,,,,,,,,
GoodMoon1,여주,카페에서 볼까요?,,,,,,,,
GoodMoon1,문이현,그래 카페에서 봐요.,,,,,,,,
GoodMoon1,여주,그래 주시면 저야 감사하죠.,,,,,,,,
GoodMoon1,,선배와 학교 앞 카페에서 만났다.,,,,,,,,
GoodMoon1,,선배는 여러 꿀강을 비교하고 정리한 자료를 나에게 보여주었다.,,,,,,,,
GoodMoon1,,강의 리스트를 보니 새로 생긴 강의들도 있었다.,,,,,,,,
GoodMoon1,,아무래도 내가 요청해서 정리해 주신 모양이다.,,,,,,,,
GoodMoon1,,저번부터 너무 도움을 주셔서 감사할 따름이다.,,,,,,,,
GoodMoon1,,이쪽 강의는 내가 들어 본 것들인데 다 좋았어.,,,,,,,,
GoodMoon1,여주,와 진짜 최고의 선배. 감사해요,,,,,,,,
GoodMoon1,문이현,아니야. 도움이 됐다니 기쁘네.,,,,,,,,
GoodMoon1,,고마운 마음을 보답하고 싶다.,TRUE,"""제가 밥이라도 살게요|GoodMoonRice|5|문이현|False;빵이라도 하나 드실래요?|GoodMoonBread|-5|문이현|False""",,,,,,
GoodMoonRice,여주,제가 밥이라도 살게요.,,,,,,,,
GoodMoonRice,문이현,안 그래도 돼.,,,,,,,,
GoodMoonRice,문이현,내가 살 테니까 저녁 먹으러 가자.,,,,,,,,
GoodMoonBread,여주,빵이라도 하나 드실래요?,,,,,,,,
GoodMoonBread,문이현,배고픈 거면 차라리 밥 먹으러 갈래?,,,,,,,,
GoodMoonBread,여주,"앗, 좋아요.",,,,,,,,
GoodMoon2,,선배와 나는 함께 카페 앞 카레 가게로 이동했다.,,,,,,,,
GoodMoon2,,치킨커리와 새우커리를 시킨 후 나누어 먹었다.,,,,,,,,
GoodMoon2,,자연스레 메뉴를 나누어 먹고 있자니 꼭 친구 이상의 관계 같은 느낌이 들었다.,,,,,,,,
GoodMoon2,,선배의 얼굴을 바라보니 잔뜩 긴장해 있는 게 보여 덩달아 민망해졌다.,,,,,,,,
GoodMoon2,,"우리는 어색하지만, 어딘가 설레는 분위기에서 함께 밥을 먹고 여러 이야기를 나누었다.",,,,,,,,
GoodMoon2,,"이현 선배와의 이야기는 많은 말을 하진 않지만, 모든 대화가 인상 깊고 즐겁다.",,,,,,,,
GoodMoon2,,이현 선배라서 그런가…,,,,,,,,
GoodMoon2,,선배도 나랑 있어서 얼굴이 빨간 거면 좋겠다.,,,,,,,,
GoodJung1,,아무래도 우진 선배 내공을 무시할 순 없겠지!,,,,,,,,
GoodJung1,,핸드폰을 켜서 우진 선배한테 문자를 보냈다.,,,,,,,,
GoodJung1,여주,우진 선배 머함,,,,,,,,
GoodJung1,정우진,일함,,,,,,,,
GoodJung1,,"오, 칼답.",,,,,,,,
GoodJung1,여주,나 다음 학기 시간표 짜야 하는데 조언이 필요해,,,,,,,,
GoodJung1,정우진,그럼 우리 집으로 와,,,,,,,,
GoodJung1,,보통 시간표 이야기를 집까지 가서 하나?,,,,,,,,
GoodJung1,여주,준비할 시간 안 필요해?,,,,,,,,
GoodJung1,정우진,우리 집은 원래 깨끗해서 괜찮아,,,,,,,,
GoodJung1,여주,알써 나 그럼 지금 간다 ㅋㅋ,,,,,,,,
GoodJung1,,하긴 저번에 밤에 갔을 때도 깨끗해 보이긴 했다.,,,,,,,,
GoodJung1,,아니 깨끗하다기보단 그냥 물건이 많이 없는 것 같기도…,,,,,,,,
GoodJung1,,대충 위에 옷만 갈아입고 나가서 문을 두드렸다.,,,,,,,,
GoodJung1,,그럼 또 늘 보던 선배가 나온다.,,,,,,,,
GoodJung1,정우진,안녕.,,,,,,,,
GoodJung1,여주,하이.,,,,,,,,
GoodJung1,정우진,뭐 마실래?,,,,,,,,
GoodJung1,여주,"아니, 괜찮아. 금방 갈 건데.",,,,,,,,
GoodJung1,,어디 앉을까?,TRUE,"""소파에 앉는다|GoodJungSofa;바닥에 앉는다|GoodJungFloor""",,,,,,
GoodJungSofa,,익숙하게 소파에 앉았다.,,,,,,,GoodJung2,
GoodJungSofa,정우진,이제 자기 집이네.,,,,,,,,
GoodJungFloor,,자연스럽게 책상 옆 바닥에 앉았다.,,,,,,,GoodJung2,
GoodJungFloor,정우진,"바닥 차니까, 소파에 앉아.",,,,,,,,
GoodJungFloor,정우진,리클라이너 있잖아.,,,,,,,,
GoodJung2,여주,"근데 나 그냥 몇 개만 물어볼 건데, 괜히 집까지 왔나?",,,,,,,,
GoodJung2,정우진,아니지.,,,,,,,,
GoodJung2,,선배가 나를 쳐다본다.,,,,,,,,
GoodJung2,정우진,사실 우리 집까지 안 와도 됐는데.,,,,,,,,
GoodJung2,정우진,"이왕 하는 거,",,,,,,,,
GoodJung2,,어?,,,,,,,,
GoodJung2,정우진,보고 싶어서 불렀어.,,,,,,,,
GoodJung2,정우진,됐지?,,,,,,,,
GoodJung2,,얼굴에 열이 오르는 느낌이다.,,,,,,,,
GoodJung2,,최대한 침착한 척 말을 꺼냈다.,,,,,,,,
GoodJung2,여주,선배 대박이다.,,,,,,,,
GoodJung2,정우진,뭐 이런 걸로 그래.,,,,,,,,
GoodJung2,,나이가 있어서 그런가?,,,,,,,,
GoodJung2,,날 아주 손바닥 위에 올려두네.,,,,,,,,
GoodJung2,여주,일단 질문부터 받아 줘.,,,,,,,,
GoodJung2,정우진,그래.,,,,,,,,
GoodJung2,여주,"임시 시간표 짜 뒀는데, 한 번 봐봐. 어때?",,,,,,,,
GoodJung2,,포커페이스를 유지하고 어제 겨우 짠 시간표를 보여줬다.,,,,,,,,
GoodJung2,,야무진 월금 공강 시간표였다.,,,,,,,,
GoodJung2,정우진,"이럴 거면 학교는 왜 다니는 거야, 집도 가까우면서.",,,,,,,,
GoodJung2,여주,"선배, 원래 학교는 안 갈수록 좋은 거야.",,,,,,,,
