groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
5-3,,공연이 끝나고 동기들에게 붙잡혀 맥주를 너무 마신 탓일까. 세상이 핑글핑글 돈다. ,,,,,,,,
5-3,,아까 먹은 야키소바가 올라올 것 같다.,,,,,,,,
5-3,,앞으로도 술 먹으면 내가 개다…!,,,,,,,,
5-3,,"""애들이 부축해 주겠다고 했지만, 너무 민폐 같아서 애써 괜찮은 척하며 걸음걸이에 집중했다.""",,,,,,,,
5-3,,"어떻게든 자취방까지는 걸어왔는데, 공동 현관 비밀번호가 자꾸 잘못 눌린다.",,,,,,,,
5-3,여주,우씨…,,,,,,,,
5-3,,어디선가 시선이 느껴진다.,,,,,,,,
5-3,,공동 현관 옆에서 담배를 피우는 누군가가 이쪽을 보고 있다. 어두워서 실루엣만 보인다.,,,,,,,,
5-3,여주,누군진 모르겠는데… 그만 쳐다보세요… 저 힘드니까아…,,,,,,,,
5-3,,,,,,,,,,
5-3,,그 사람이 걸어왔다. 거의 주저앉아 있는 내 눈높이에 맞춰 쭈그려 앉는다.,,,,,,,,
5-3,,,,,,,,,,
5-3,???,나 누군지 몰라?,,,,,,,,
5-3,,센서등이 켜지며 남자의 얼굴이 드러났다.,,,,,,,,
5-3,,우진 선배였다.,,,,,,,,
5-3,여주,어… 조교님…,,,,,,,,
5-3,정우진,우리 말 놓기로 했잖아.,,,,,,,,
5-3,여주,맞다… 우진 선배~ 왜 오늘 축제 안 왔… 콜록!,,,,,,,,
5-3,,짙어진 담배 냄새에 기침이 났다. 선배는 남은 담배를 휴대용 재떨이에 껐다.,,,,,,,,
5-3,,그러고는 벽에 거의 기대 있는 나를 일으켜 세우고 공동 현관 비밀번호를 눌렀다.,,,,,,,,
5-3,,내 팔을 어정쩡하게 잡고 엘리베이터를 타는 자세가 좀 웃기다. ,,,,,,,,
5-3,,근데 팔을 막 잡네… 퍼스널 스페이스라는 게 있는데.,,,,,,,,
5-3,, 그래도 부축해 주는데 행패 부리긴 뭐하니까 가만히 있자…,,,,,,,,
5-3,정우진,미안하네. 냄새는 좀만 참아. 몇 층이야?,,,,,,,,
5-3,여주,9층… 90X호~.,,,,,,,,
5-3,여주,왜 오늘 안 왔어? 이현 선배도 있던데…,,,,,,,,
5-3,정우진,… 축제 별로 안 좋아해. 사람 많은 거 별로라서.,,,,,,,,
5-3,,그렇게 생기긴 했다.,,,,,,,,
5-3,,,,,,,,,,
5-3,정우진,"""자, 집 비밀번호.""",,,,,,,,
5-3,여주,어…,,,,,,,,
5-3,,"우진 선배랑 이야기도 나름 하고, 밥도 먹었지만…",,,,,,,,
5-3,,어딘가 묘하게 쳐져 있는 벽은 깨지 못한 느낌이었다. ,,,,,,,,
5-3,,"민폐인 건 알지만, 어디까지 허락해 줄지 궁금해졌다.",,,,,,,,
5-3,,,,,,,,,,
5-3,,그냥 눈을 감았다. 솔직히 당황해 줬으면 좋겠다…,,,,,,,,
5-3,정우진,… 자?,,,,,,,,
5-3,여주,…,,,,,,,,
5-3,정우진,…,,,,,,,,
5-3,,,,,,,,,,
5-3,,"""잠시 후, 선배가 내 팔을 붙들고 다시 움직였다"".",,,,,,,,
