groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
Ep3-3,,세하의 연락처를 얻었다!,,,FlagFalse,shcon,,,,SaveContact_Seha
Ep3-3,여주,배불러… 여기 진짜 맛있네.,,,,,,,,
Ep3-3,여주,앞으로 오빠가 추천하는 곳은 믿고 먹어도 될 것 같아.,,,,,,,,
Ep3-3,,먹고 나와서 좀 걸었는데도 아직 배가 가득 찬 느낌이 들었다.,,,,,,,,
Ep3-3,,정말로 맛있었다.,,,,,,,,
Ep3-3,,"그냥 배고파서 맛있었던 게 아니라, 제대로 된 맛집이었다.",,,,,,,,
Ep3-3,강세하,"""그치? 내가 단골이 된 이유가 있, …다니까.""",,,,,,,,
Ep3-3,여주,…응?,,,,,,,,
Ep3-3,,말을 하던 세하가 갑자기 말을 멈췄다.,,,,,,,,depressed
Ep3-3,,나는 고개를 살짝 기울여서 세하의 시선이 어디를 향하는지 따라가 보았다.,,,,,,,,
Ep3-3,,지하철 벽에 붙은 전광판.,,,,,,,,
Ep3-3,,광고 영상이 흘러나오고 있었다.,,,,,,,,
Ep3-3,,거기에 나오는 아이돌 그룹.,,,,,,,,
Ep3-3,,예쁘게 꾸민 채 화려한 조명을 받으며 무대를 하는 아이돌이 있었다.,,,,,,,,
Ep3-3,,그 중 한 멤버가 클로즈업되며 웃는다.,,,,,,,,
Ep3-3,,낯설지 않은 얼굴이었다.,,,,,,,,
Ep3-3,강세하,…좋아하는 아이돌 있어? 요즘 이 팀 진짜 잘나가더라.,,,,,,,,
Ep3-3,,말투가 살짝 건조했다.,,,,,,,,
Ep3-3,,마치 뭔가를 꾹 참고 있는 듯한 기색.,,,,,,,,
Ep3-3,여주,"""아, 응… 응. 가끔 영상 뜨는 거 몇 개 본 적 있어. 노래도 좋던데.""",,,,,,,,
Ep3-3,강세하,"""응, 그렇더라. 작곡가도 유명하고.""",,,,,,,,
Ep3-3,,말투가 너무 평범해서 더 낯설었다.,,,,,,,,
Ep3-3,,일부러 아무렇지 않은 척을 한다는 걸 느낄 수 있었다.,,,,,,,,
Ep3-3,,"""그 순간, 화면이 전환되며 광고가 끝났다.""",,,,,,,,
Ep3-3,,동시에 세하도 톤을 바꾸며 나에게 말했다.,,,,,,,,
Ep3-3,강세하,"""근데 너, 진짜 잘 먹더라. 닭똥집 먹는데 그렇게 집중하는 사람 처음 봤어.""",,,,,,,,smile
Ep3-3,여주,나 집중력 좋은 편이야. 특히 맛있는 거 앞에선.,,,,,,,,
Ep3-3,강세하,그럼 다음엔 더 맛있는 데 찾아봐야겠다.,,,,,,,,
Ep3-3,여주,"""응, 다음엔 감자튀김도 먹자.""",,,,,,,,
Ep3-3,강세하,"""오케이, 기억해 둘게.""",,,,,,,,
