groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
7-4-a,,세하 오빠에게서 문자가 왔다.,,,,,,,,CMD:SetFlag:sh7Done:true
7-4-a,강세하,"바람 좀 쐬고 싶은데, 시간 돼?",,,,,,,,
7-4-a,여주,갑자기?,,,,,,,,
7-4-a,강세하,지금 아니면 못 불러낼 것 같아서.,,,,,,,,
7-4-a,,그렇게 도착한 작은 카페.,,,,,,,,
7-4-a,,"햇살이 눈 부시긴 하지만, 카페테라스 자리는 그늘 아래라 제법 시원했다.",,,,,,,,
7-4-a,여주,원래 이렇게 갑자기 사람 부르고 그래?,,,,,,,,
7-4-a,강세하,"그냥, 지금 아니면 안 될 것 같아서. 갑자기 봐야 할 것 같다는 생각이 들었어.",,,,,,,,
7-4-a,,"마주 앉아 시원한 음료를 마시며, 아무 말 없이 몇 분 정도를 그냥 그렇게 보냈다.",,,,,,,,
7-4-a,강세하,"너 축제 때, 내 무대 봤었어?",,,FlagFalse,stageSH,,,,
7-4-a,여주,"응, 봤어.",,,FlagFalse,,,,,
7-4-a,강세하,"너 축제 때, 내 무대 봤다고 했었지.",,,FlagTrue,stageSH,,,,
7-4-a,,"응, 맞아.",,,FlagTrue,stageSH,,,,
7-4-a,강세하,그 뒤로··· 나에 대해 뭐 좀 들었어?,,,,,,,,
7-4-a,,그 말에 자연스럽게 며칠 전 찾아봤던 글들이 떠올랐다.,,,,,,,,
7-4-a,,"노래 부른 애, 예전에 아이돌 연습생이었다더라.'",,,,,,,,
7-4-a,,춤 영상 있던데 진짜 잘 추던데.',,,,,,,,
7-4-a,,연예인 될 뻔했다던데 왜 대학 왔대?',,,,,,,,
7-4-a,여주,"응, 뭐··· 조금은.",,,,,,,,
7-4-a,강세하,"사실 그 얘기, 나중에 하려고 했는데···",,,,,,,,
7-4-a,강세하,지금쯤이면 말해도 될 것 같더라. 너한테.,,,,,,,,
7-4-a,여주,왜 나중에 말하려고 했는데?,,,,,,,,
7-4-a,강세하,괜히 이상하게 보일까 봐.,,,,,,,,
7-4-a,강세하,"연습생이었던 거 말하면, 그냥 겉도는 사람처럼 느껴질 수도 있고···",,,,,,,,
7-4-a,여주,근데 왜 결국 말하기로 한 거야?,,,,,,,,
7-4-a,강세하,···네가 나 불편해하는 것 같아서.,,,,,,,,
7-4-a,강세하,나는 너랑 불편해지기 싫거든···.,,,,,,,,
7-4-a,강세하,"근데, 그러려면··· 이 얘기를 꺼내야 한다고 생각했어.",,,,,,,,
7-4-a,,어떤 반응을 해야 할까.,TRUE,"""정말 데뷔할 수도 있었냐고 물어본다|7-4-c1|0|강세하|false|10;말해줘서 고맙다고 한다|7-4-c2|5|강세하|false;지금이 더 중요하다고 한다|7-4-c3|7|강세하|false""",,,,,,
7-4-c1,여주,"그래서, 진짜 데뷔할 수도 있었던 거야?",,,,,,,7,
7-4-c1,강세하,"얘기하자면 좀 긴데, 틀린 말은 아니야.",,,,,,,,
7-4-c1,여주,지금은··· 연습생 안 해?,,,,,,,,
7-4-c1,,...'틀린 말은 아니야.',,,,,,,,
7-4-c1,,"그 말을 할 때 세하 오빠의 눈이 어쩐지, 조금 슬퍼 보였다.",,,,,,,,
7-4-c1,,"순간, 나도 모르게 목소리가 조심스러워졌다.",,,,,,,,
7-4-c1,강세하,"나는··· 중학교 1학년 올라갈 즈음에 연습생을 시작했어. 우연히 TV에서 아이돌 무대를 봤는데, 그 순간 진짜로··· '나도 저기 서고 싶다'는 생각이 들더라.",,,,,,,,
7-4-c1,강세하,"그렇게 단순하게 시작했는데, 연습생 생활은 생각만큼 단순하지 않더라고.",,,,,,,,
7-4-c1,,갑자기 세하 오빠의 말투가 달라졌다.,,,,,,,,
7-4-c1,,"툭툭 건네던 말투가, 어느새 조심스레 꺼내는 기억이 되었다.",,,,,,,,
7-4-c1,강세하,"처음 들어간 곳은 운 좋게도 꽤 큰 회사였어. 모든 게 신기했지. 거기엔 나랑 비슷한 또래 연습생도, 나보다 어린 애들도 정말 많았고···.",,,,,,,,
