groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
5-1,,오늘은 드디어 축제 첫날!,,,,,,,,
5-1,,"""평소라면 강의 끝나고 바로 집에 들어갔겠지만, 이번엔 좀 다르다.""",,,,,,,,
5-1,,"""분위기도 좋고, 주은이랑 약속도 잡아뒀고…""",,,,,,,,
5-1,,그리고 무엇보다 뭔가 ‘이벤트’가 일어날 것만 같은 느낌이 온다. ,,,,,,,,
5-1,,,,,,,,,,
5-1,강주은,[여주야] 진짜 미안한데 나 집에 일이 생겨서 가봐야 할 것 같아…,,,,,,,,
5-1,여주,"헐 진짜? 안돼! 그럼, 나 누구랑 놀아!",,,,,,,,
5-1,강주은,진짜 미안해… 다음에 내가 커피 살게…,,,,,,,,
5-1,,주은이가 우는 표정을 한다. 그래 보내줘야지.,,,,,,,,
5-1,여주,알았어… 조심히 가.,,,,,,,,
5-1,,,,,,,,,,
5-1,,주은이가 가버리니 축제를 같이 즐길 친구가 없어져 버렸다…,,,,,,,,
5-1,,혼자 축제를 즐기기에는 심심한데…,,,,,,,,
5-1,,누구한테 연락이라도 해봐야 할까?,TRUE,"""이현 선배|05-1-1|5|문이현;은성이|05-1-2|5|이은성;루카|05-1-3|5|루카|festival_LK;""",,,,,,
05-1-1,여주,이현 선배한테 연락해 봐야겠다.,,,,,,,,
05-1-1,,뭔가 이런 축제에 안 오실 것 같긴 하지만…,,,,,,,,
05-1-1,,전화해 봐야지.,,,,,,,,
05-1-1,여주,여보세요?,,,,,,,,
05-1-1,문이현,[여주]?,,,,,,,,
05-1-1,여주,선배 혹시 저랑 같이 축제 보실래요?,,,,,,,,
05-1-1,문이현,아 나 과제가 있어서 8시 이후에나 가능할 것 같은데…,TRUE,"""기다리겠다고 한다|5-1-1-1|5|문이현;그냥 혼자 본다고 한다|5-1-1-2;""",,,,,,
5-1-1-1,,지금은 오후 여섯 시… ,,,,,,,backto05-1-1,
5-1-1-1,,두 시간 정도야 혼자 기다리지 뭐.,,,,,,,,
5-1-1-1,여주,괜찮아요. 그전까지 축제 보고 있을게요. 얼른 과제 마치고 오세요.,,,,,,,,
5-1-1-1,문이현,알겠어. 축제 도착하면 연락할게.,,,,,,,,
5-1-1-2,여주,"아... 그럼, 혼자 다닐게요.",,,,,,,backto05-1-1,
5-1-1-2,문이현,같이 다닐 사람 없어? 주은이랑 같이 다닌다고 들은 것 같은데.,,,,,,,,
5-1-1-2,여주,오늘 급한 일이 생겼다고 가버렸어요.,,,,,,,,
5-1-1-2,문이현,아 그렇구나. 그럼 내가 최대한 빨리 과제 끝내고 가볼게.,,,,,,,,
5-1-1-2,문이현,다른 친구랑 놀아도 되고.,,,,,,,,
5-1-1-2,여주,네! 그럼 오시면 연락주세요.,,,,,,,,
backto05-1-1,,이현 선배와 전화를 끊고 학교 밴드의 무대를 보다 보니 어느새 7시 20분이다.,,,,,,,,
backto05-1-1,,그때 선배에게 전화가 걸려 왔다.,,,,,,,,
backto05-1-1,여주,여보세요?,,,,,,,,
backto05-1-1,문이현,과제 빨리 끝나서 바로 왔어. 무대 쪽에 있는 거지? 그리로 갈게.,,,,,,,,
backto05-1-1,여주,"앗, 네! 저도 그럼 입구 쪽으로 갈게요.",,,,,,,,
backto05-1-1,,"무대 객석을 나와 입구 쪽으로 가자, 익숙한 이현 선배의 실루엣이 보였다.",,,,,,,,
backto05-1-1,여주,축제 보는 거 좋아하세요?,,,,,,,,
backto05-1-1,문이현,"아, 사실 나... 축제 와본 적 없어.",,,,,,,,
backto05-1-1,여주,"그럼, 저랑 오늘 무대 보러 가요.",,,,,,,,
5-1-1-3,,갑자기 주변에 사람이 몰려와 나는 이현 선배의 손목을 덥석 잡고 걸어갔다.,,,,,,,bbackto05-1-1,
5-1-1-3,,선배의 얼굴을 보지는 않았지만 당황한 얼굴일 게 뻔했다.,,,,,,,,
5-1-1-3,문이현,어… 어 그래 무대로 가자.,,,,,,,,
5-1-1-3,,고개를 돌려 선배의 얼굴을 보니 터질 듯 빨개져 있었다.,,,,,,,,
5-1-1-3,,빨간 선배의 얼굴을 보니 나도 괜히 부끄러워져 자연스럽게 팔목을 놨다. ,,,,,,,,
5-1-1-3,,의도치 않게 스킨십을 해버렸네…,,,,,,,,
5-1-1-4,,선배와 평소처럼 얘기하며 무대 쪽으로 걸어갔다. ,,,,,,,bbackto05-1-1,
bbackto05-1-1,,무대 쪽에 도착하니 연예인이 공연을 하고 있었다.,,,,,,,,
bbackto05-1-1,,"""고개를 돌려 이현 선배를 보니, 선배도 즐기고 계셨다.""",,,,,,,,
bbackto05-1-1,,이현 선배에게 연락하길 잘한 것 같다. ,,,,,,,,
bbackto05-1-1,,,,,,,,,,
bbackto05-1-1,,"""이현 선배랑 공연을 즐기던 중, 화장실이 가고 싶어졌다.""",,,,,,,,
bbackto05-1-1,,"""공연장을 나와 화장실로 걸어가는데, 익숙한 뒤통수가 보인다.""",TRUE,"""루카|t_3|3|루카;은성이|t_2|1|이은성""",,,,,,
,,,,,,,,,,
05-1-2,,은성이한테 연락해 봐야지.,,,,,,,,
05-1-2,,왠지 같이 다니는 친구 있을 것 같긴 한데…,,,,,,,,
05-1-2,,그래도 한번 물어봐야지.,,,,,,,,
05-1-2,,전화를 할까? 문자를 할까?,TRUE,"""전화를 한다|5-1-2-1|2|이은성;문자를 한다|-2|이은성;""",,,,,,
5-1-2-1,,문자보단 전화가 확인이 빠르겠지?,,,,,,,backto05-1-2,
5-1-2-1,,은성에게 전화를 걸었다.,,,,,,,,
5-1-2-1,여주,"""은성아, 혹시 지금 축제 와 있어?""",,,,,,,,
5-1-2-1,이은성,"‘어, [여주야]! 나 지금 축제… 잠시만요!’",,,,,,,,
5-1-2-1,이은성,"‘[여주야] 미안해, 나 지금 바빠서 이따가 다시 전화할게!’",,,,,,,,
5-1-2-2,,"시끄러운데, 전화하는 건 좀 그런가?",,,,,,,backto05-1-2,
5-1-2-2,,은성에게 문자를 보냈다. ,,,,,,,,
5-1-2-2,여주,"""은성아, 혹시 지금 축제 와 있어?""",,,,,,,,
5-1-2-2,,…,,,,,,,,
5-1-2-2,,답이 없다. ,,,,,,,,
backto05-1-2,,생각해 보니 은성이는 학생회였지.,,,,,,,,
backto05-1-2,,맞다… 어떡하지? 혼자 다닐까?,,,,,,,,
backto05-1-2,,아니면 다른 사람한테라도 연락할까?,TRUE,"""혼자 다닌다|5-1-2-3;다른 사람에게 연락한다|Controlblock|-5|이은성;""",,,,,,
5-1-2-3,,혼자 축제 구경이라니.,,,,,,,,
5-1-2-3,,이건 고등학생 때도 안 했던 건데.,,,,,,,,
5-1-2-3,,뭐 어쩔 수 없지.,,,,,,,,
5-1-2-3,,부스 좀 돌아다녀 볼까?,,,,,,,,
5-1-2-3,,,,,,,,,,
5-1-2-3,,여기저기 부스를 돌아다니며 돈을 많이 썼다.,,,,,,,,
5-1-2-3,,양손에 굿즈와 솜사탕…,,,,,,,,
