groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
Ep3-4,,그룹 스터디를 하게 되었다. 열심히 공부해서 학점 잘 받아야지!!,,,,,,,,
Ep3-4,,도서관에 있는 스터디룸을 빌렸다. 마침 인원수도 딱 맞네.,,,,,,,,
Ep3-4,,"""다같이 학교 앞에서 만나서, 도서관으로 가기 전에 카페에 들르기로 했다.""",,,,,,,,
Ep3-4,,누가 뭘 좋아하는지 봐두면 도움이 되려나?,,,,,,,,
Ep3-4,정우진,내가 주문 한꺼번에 할게. 메뉴 알려줘.,,,,,,,,
Ep3-4,,각자 원하는 걸 이야기한다.,,,,,,,,
Ep3-4,이은성,[여주는] 뭐 마실래?,,,,,,,,
Ep3-4,,지금 가장 끌리는 건…,TRUE,"""아이스 아메리카노|aa|1|정우진;핫 아메리카노|ha|1|문이현;수박 주스|subak|1|강세하;얼그레이|earl|1|루카;딸기 라떼|straw|1|이은성;초코 라떼|choco;",,,,,,
aa,여주,저는 아이스아메리카노요.,,,,,,,Ep3-4-1,
aa,정우진,너도 아이스아메리카노야? 나돈데.,,,,,,,,
subak,여주,저는 수박 주스요.,,,,,,,Ep3-4-1,
subak,강세하,"""나도 수박 주스. 우리 통했다, 그치.""",,,,,,,,
ha,여주,저는 핫아메리카노요.,,,,,,,Ep3-4-1,
ha,문이현,오 [여주도] 이거 마시는구나. 신기하다.,,,,,,,,
earl,여주,저는 얼그레이요.,,,,,,,Ep3-4-1,
earl,루카,저도요. 의외로 취향이 비슷한 것 같네요.,,,,,,,,
straw,여주,저는 딸기라떼요.,,,,,,,Ep3-4-1,
straw,이은성,나도. 와~ 통했네.,,,,,,,,
choco,여주,저는 초코라떼요.,,,,,,,Ep3-4-1,
Ep3-4-1,,주문한 음료를 모두 받고 학교로 향했다.,,,,,,,,
Ep3-4-1,,조금 걷다 보니 도서관 안의 그룹 스터디룸에 도착했다.,,,,,,,,
Ep3-4-1,루카,여기는 처음 와 보네요.,,,,,,,,
Ep3-4-1,여주,"""나도, 되게 넓다.""",,,,,,,,
Ep3-4-1,문이현,학교 다니다 보면 올 일이 많이 생길걸.,,,,,,,,
Ep3-4-1,,자리에 앉아서 각자 공부할 거를 꺼낸다.,,,,,,,,
Ep3-4-1,,근데 잘 모르겠는 것들이 여럿 있네…,,,,,,,,
Ep3-4-1,,마침 선배들도 계시니까 물어봐야지…,,,,,,,,
Ep3-4-1,여주,선배님들 저 궁금한 거 있는데 물어봐도 돼요?,,,,,,,,
Ep3-4-1,정우진,"""응, 물어봐.""",,,,,,,,
Ep3-4-1,여주,박xx 교수님은 시험 어떻게 내셔요?,,,,,,,,
Ep3-4-1,,1학년 필수 과목을 가르치시는 분이다. 선배님들도 당연히 아시겠지.,,,,,,,,
Ep3-4-1,정우진,그거 1학년 필수 과목이었나?,,,,,,,,
Ep3-4-1,강세하,"""네, 저도 들어요.""",,,,,,,,
Ep3-4-1,,은성이랑 루카도 고개를 끄덕인다.,,,,,,,,
Ep3-4-1,정우진,나보다는 이현이가 더 최근에 들었을 텐데.,,,,,,,,
Ep3-4-1,문이현,어… 그냥 강의 열심히 들으면 시험 문제는 다 풀 수 있어.,,,,,,,,
Ep3-4-1,,저게 제일 어려운 말인데??,,,,,,,,
Ep3-4-1,여주,학점은… 잘 주셔요?,,,,,,,,
Ep3-4-1,정우진,김oo 교수님보다는…,,,,,,,,
Ep3-4-1,,"그러고 잠시 조용해졌다. 나도 이제 공부에 집중을,",,,,,,,,
Ep3-4-1,,집중을…,,,,,,,,
Ep3-4-1,,집…,,,,,,,,
Ep3-4-1,,,,,,,,,,Fadeout
