groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
7-2-a,,점심을 먹고 뒹굴거리던 어느 날···,,,,,,,,CMD:SetFlag:ih7Done:true
7-2-a,,이현 선배에게서 문자가 왔다.,,,,,,,,
7-2-a,문이현,"여주야, 오늘 안 바쁘면 나랑 미술관 갈래?",,,,,,,,
7-2-a,여주,미술관이요? 좋아요! 오늘 가는 거예요?,,,,,,,,
7-2-a,문이현,응 오늘 4시 티켓이야. 우리 학교 근처에서 해.,,,,,,,,
7-2-a,여주,그럼 학교 앞에서 3시에 만날까요?,,,,,,,,
7-2-a,문이현,그래. 3시에 보자 :),,,,,,,,
7-2-a,,얼떨결에 이현 선배와 데이트가 잡혔다···,,,,,,,,
7-2-a,,어쩌면 데이트가 아니라 미술관 공부일지도 모르긴 하지만···,,,,,,,,
7-2-a,,"지금이 1시이니, 약속까지 2시간 남았다.",,,,,,,,
7-2-a,,약속에 어떤 옷을 입고 나갈까?,TRUE,"""차분한 느낌의 블랙 미니 원피스|7-2-b|3|문이현|false;청순한 느낌의 하얀 니트에 청바지|7-2-b|0|문이현|false;편안한 느낌의 맨투맨과 갈색 골덴치마|7-2-b|5|문이현|false""",,,,,,
7-2-b,,고른 옷을 입고 이런저런 준비를 하다 보니 시간이 금방 흘렀다.,,,,,,,,
7-2-b,,"어느덧 오후 3시, 약속 장소에 가니 선배가 있었다.",,,,,,,,
7-2-b,문이현,"앗, 안녕. 급하게 연락한 건데 나와줘서 고마워.",,,,,,,,
7-2-b,여주,아니에요. 저도 전시회나 미술관 좋아해요.,,,,,,,,
7-2-b,문이현,정말? 다행이다.,,,,,,,,
7-2-b,문이현,"오늘 아침에 선배가 티켓 두 장을 주셨는데, 너 생각이 나서 연락해 봤어.",,,,,,,,
7-2-b,여주,"헉, 감동인데요.",,,,,,,,
7-2-b,,이현 선배와 나는 그렇게 한두 마디 말을 나누며 미술관으로 이동했다.,,,,,,,,
7-2-b,,미술관에는 다양한 서양화 작품이 전시되어 있었다.,,,,,,,,
7-2-b,,"나는 평소 미술에 조예가 없어 그냥 신기했지만,",,,,,,,,
7-2-b,,선배는 평소 이런 곳을 자주 다니는지 눈이 반짝거렸다.,,,,,,,,
7-2-b,,선배의 이런 호기심 가득한 눈을 보니 조금 귀여운데···,,,,,,,,
7-2-b,여주,"선배, 미술품 좋아하시나 봐요.",,,,,,,,
7-2-b,문이현,"앗, 내가 너무 혼자 봤나? 좋아하는 편이긴 해.",,,,,,,,
7-2-b,여주,"아니에요. 저도 선배 보시는 거 보면서, 같이 감상하고 있었어요.",,,,,,,,
7-2-b,문이현,"아, 다행이네. 궁금한 거 있으면 물어봐.",,,,,,,,
7-2-b,여주,음··· 그러면 제일 좋아하는 작품 있어요?,,,,,,,,
7-2-b,,"내 질문을 듣고, 선배는 열심히 고민하기 시작했다.",,,,,,,,
7-2-b,,눈을 감고 고민하는 선배의 모습을 보니 웃음이 나왔다.,,,,,,,,
7-2-b,문이현,"앗, 왜 웃어?",TRUE,"""고민하는 게 귀엽다고 한다|7-2-c1|5|문이현|false;그냥 웃은 거라고 한다|7-2-c2|-5|문이현|false;선배와 대화하는 게 즐거워서라고 한다|7-2-c3|3|문이현|false""",,,,,,
7-2-c1,여주,열심히 고민하시는 게 귀여우셔서요.,,,,,,,7-2-c,
7-2-c1,문이현,어···?,,,,,,,,
7-2-c1,,선배는 내 말을 듣고는 그대로 얼어버렸다.,,,,,,,,
7-2-c1,,아무래도 귀엽다는 말이 충격이었나?,,,,,,,,
7-2-c1,문이현,"[여주야] 너, 그런 소리 하는 거 아니야···",,,,,,,,
7-2-c1,,선배는 그대로 할 말을 잊은 듯 뚝딱대며 앞으로 걸어갔다.,,,,,,,,
7-2-c1,,이 모습조차 정말 웃기다니까.,,,,,,,,
7-2-c2,여주,"앗, 그냥 웃은 거예요.",,,,,,,7-2-c,
7-2-c2,문이현,아···! 그렇구나.,,,,,,,,
7-2-c2,,선배는 머쓱한 듯 고개를 끄덕였다.,,,,,,,,
7-2-c2,문이현,지금 마땅한 작품이 안 떠오르네.,,,,,,,,
7-2-c2,여주,"그럼, 다음에 말해주세요.",,,,,,,,
7-2-c2,문이현,"응, 물어봐 줘서 고마워.",,,,,,,,
7-2-c2,,선배는 다시 몸을 돌려 작품 감상을 시작했다.,,,,,,,,
7-2-c2,,나는 선배 뒤를 따라다니며 함께 구경했다.,,,,,,,,
7-2-c3,여주,선배랑 대화하는 게 즐거워서요.,,,,,,,7-2-c,
7-2-c3,문이현,아 정말? 다행이네.,,,,,,,,
7-2-c3,,선배는 내 말을 듣고는 기쁜 듯 웃었다.,,,,,,,,
7-2-c3,,"살짝 부끄러웠는지, 양 뺨이 발그레해졌다.",,,,,,,,
7-2-c3,문이현,지금 마땅한 작품이 안 떠오르네.,,,,,,,,
7-2-c3,여주,"그럼, 다음에 말해주세요.",,,,,,,,
7-2-c3,문이현,"응, 물어봐 줘서 고마워.",,,,,,,,
7-2-c3,,선배는 이내 나에게 다른 작품을 보자 했다.,,,,,,,,
7-2-c3,,선배와 나는 함께 작품을 보러 이동했다.,,,,,,,,
7-2-c,,"2시간가량 둘러보니, 미술관을 다 둘러볼 수 있었다.",,,,,,,,
7-2-c,문이현,어땠어? 난 괜찮았는데.,,,,,,,,
7-2-c,여주,저도 괜찮았어요. 안목이 넓어진 것 같아 좋아요.,,,,,,,,
7-2-c,문이현,"다행이다. 저녁, 같이 먹을래?",,,,,,,,
7-2-c,여주,좋아요. 드시고 싶은 메뉴 있어요?,,,,,,,,
7-2-c,문이현,나는 다 괜찮아. [여주가] 골라 볼래?,TRUE,"""샤브샤브|7-2-d|0|문이현|false;돈까스|7-2-d|0|문이현|false;파스타|7-2-d|0|문이현|false""",,,,,,
7-2-d,문이현,좋아. 먹으러 가자.,,,,,,,,
7-2-d,,우리는 함께 식당으로 이동해 저녁을 먹었다.,,,,,,,,
7-2-d,,"차분하고 조용히 많은 대화를 나누는 동안, 왠지 모르게 편안해서 자꾸 웃음이 나왔다.",,,,,,,,
7-2-d,,말이 많지 않은데도 이렇게 사람을 편하게 해준다니.,,,,,,,,
7-2-d,,이현 선배는 참 신기한 사람이네.,,,,,,,,
